SUBPARTITION_NAME	HIGH_VALUE
CROSSCHAINPDXSH0520260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN700220260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN700720260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN701020260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN800020260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN800120260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN800220260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN800320260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN800420260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN800520260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN800620260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN800720260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN800820260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN800920260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN801020260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN801120260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN801220260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN801320260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN801420260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN801520260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN801620260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN801720260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN801820260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN802420260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN802520260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN802620260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN802720260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN802920260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN803220260611	TIMESTAMP' 2026-06-12 00:00:00'
SYS_SU20260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN810220260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN810320260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN810420260611	TIMESTAMP' 2026-06-12 00:00:00'
CSQATESTCHAIN810520260611	TIMESTAMP' 2026-06-12 00:00:00'
CUMBERLAND2PHARMACY20260611	TIMESTAMP' 2026-06-12 00:00:00'
CUMBERLANDPHARMACY20260611	TIMESTAMP' 2026-06-12 00:00:00'
REDCROSSPHARMACY20260612	TIMESTAMP' 2026-06-13 00:00:00'
REDHOOKDRUGSTORE20260612	TIMESTAMP' 2026-06-13 00:00:00'
ROGERSVILLEPHARMACYLLC20260612	TIMESTAMP' 2026-06-13 00:00:00'
RXCOM20260612	TIMESTAMP' 2026-06-13 00:00:00'
SAFEWAY20260612	TIMESTAMP' 2026-06-13 00:00:00'
SAFEWAYHAGGEN20260612	TIMESTAMP' 2026-06-13 00:00:00'
SAMSCLUB20260612	TIMESTAMP' 2026-06-13 00:00:00'
SARALANDPHARMACY20260612	TIMESTAMP' 2026-06-13 00:00:00'
SAUGERTIESPHARMACY20260612	TIMESTAMP' 2026-06-13 00:00:00'
SAVEONDRUGS20260612	TIMESTAMP' 2026-06-13 00:00:00'
SAVMRT20260612	TIMESTAMP' 2026-06-13 00:00:00'
SELAUTOCHAIN555520260612	TIMESTAMP' 2026-06-13 00:00:00'
SETONMEDICALMANAGEMENT20260612	TIMESTAMP' 2026-06-13 00:00:00'
SHOPKO20260612	TIMESTAMP' 2026-06-13 00:00:00'
SMITHSTREETPHARMACY20260612	TIMESTAMP' 2026-06-13 00:00:00'
SPRVAL20260612	TIMESTAMP' 2026-06-13 00:00:00'
STLUKE20260612	TIMESTAMP' 2026-06-13 00:00:00'
SULLIVANSPHARMACY20260612	TIMESTAMP' 2026-06-13 00:00:00'
SUPERVALUINC20260612	TIMESTAMP' 2026-06-13 00:00:00'
TCUHEALTHCENTER20260612	TIMESTAMP' 2026-06-13 00:00:00'
THEPRESCRIPTIONSHOP20260612	TIMESTAMP' 2026-06-13 00:00:00'
TRANSI20260612	TIMESTAMP' 2026-06-13 00:00:00'
TRIUNITYPHARMACY20260612	TIMESTAMP' 2026-06-13 00:00:00'
UNIONPACIFICRR20260612	TIMESTAMP' 2026-06-13 00:00:00'
UNITEDS20260612	TIMESTAMP' 2026-06-13 00:00:00'
VELOCE20260612	TIMESTAMP' 2026-06-13 00:00:00'
WALGREENSCO20260612	TIMESTAMP' 2026-06-13 00:00:00'
WEBSCR20260612	TIMESTAMP' 2026-06-13 00:00:00'
WEIS20260612	TIMESTAMP' 2026-06-13 00:00:00'
WENTWORTHDOUGLASS20260612	TIMESTAMP' 2026-06-13 00:00:00'
WESTBURY_PHARMACY20260612	TIMESTAMP' 2026-06-13 00:00:00'
WESTERNPHARMACYGROUP20260612	TIMESTAMP' 2026-06-13 00:00:00'
WESTMAIN20260612	TIMESTAMP' 2026-06-13 00:00:00'
WINNDIXIE20260612	TIMESTAMP' 2026-06-13 00:00:00'
YORKPHARMACY20260612	TIMESTAMP' 2026-06-13 00:00:00'
DAHLS20260612	TIMESTAMP' 2026-06-13 00:00:00'
